clean_acc,CRPA,clean_class_iou,wc_class_iou,class,epsilon
0.8975680470466614,0.8599933981895447,0.4222636100487399,0.17318530686227307,bicycle,0.05
0.8975680470466614,0.8367365598678589,0.9471796272843235,0.8796612459426173,road,0.1
0.8975680470466614,0.8367365598678589,0.6417212025864121,0.35432936621147093,sidewalk,0.1
0.8975680470466614,0.8367365598678589,0.8170994500717091,0.6733296208944547,building,0.1
0.8975680470466614,0.8367365598678589,0.11198857574511083,0.005883609211995383,wall,0.1
0.8975680470466614,0.8367365598678589,0.19113019483802565,0.020884699571805124,fence,0.1
0.8975680470466614,0.8367365598678589,0.31115802041669155,0.033748784809749605,pole,0.1
0.8975680470466614,0.8367365598678589,0.21547048477623895,0.001838868951965429,traffic light,0.1
0.8975680470466614,0.8367365598678589,0.37981825903888905,0.04446365933989061,traffic sign,0.1
0.8975680470466614,0.8367365598678589,0.8537666851023071,0.708158381271935,vegetation,0.1
0.8975680470466614,0.8367365598678589,0.43987776815748303,0.16369470442358394,terrain,0.1
0.8975680470466614,0.8367365598678589,0.8979697961810874,0.7185483880054702,sky,0.1
0.8975680470466614,0.8367365598678589,0.46581466646250896,0.1528144860735986,person,0.1
0.8975680470466614,0.8367365598678589,0.03768144125123276,0.0,rider,0.1
0.8975680470466614,0.8367365598678589,0.780914145195607,0.5721525098374998,car,0.1
0.8975680470466614,0.8367365598678589,0.06255585680338217,0.00033074453673047544,truck,0.1
0.8975680470466614,0.8367365598678589,0.13752531268320803,0.005606929074498204,bus,0.1
0.8975680470466614,0.8367365598678589,0.07989881370946383,0.010710990978624447,train,0.1
0.8975680470466614,0.8367365598678589,0.016749300096062875,0.0,motorcycle,0.1
0.8975680470466614,0.8367365598678589,0.4222636100487399,0.08545292548442812,bicycle,0.1
0.8975680470466614,0.7607963681221008,0.9471796272843235,0.7870633375271868,road,0.3
0.8975680470466614,0.7607963681221008,0.6417212025864121,0.11839353124790639,sidewalk,0.3
0.8975680470466614,0.7607963681221008,0.8170994500717091,0.5082658641208928,building,0.3
0.8975680470466614,0.7607963681221008,0.11198857574511083,0.0,wall,0.3
0.8975680470466614,0.7607963681221008,0.19113019483802565,0.0002449863444085772,fence,0.3
0.8975680470466614,0.7607963681221008,0.31115802041669155,0.00012645900680973788,pole,0.3
0.8975680470466614,0.7607963681221008,0.21547048477623895,0.0,traffic light,0.3
0.8975680470466614,0.7607963681221008,0.37981825903888905,0.0,traffic sign,0.3
0.8975680470466614,0.7607963681221008,0.8537666851023071,0.5437025355805811,vegetation,0.3
0.8975680470466614,0.7607963681221008,0.43987776815748303,0.029199960429907735,terrain,0.3
0.8975680470466614,0.7607963681221008,0.8979697961810874,0.4870146658784925,sky,0.3
0.8975680470466614,0.7607963681221008,0.46581466646250896,0.02437338912705203,person,0.3
0.8975680470466614,0.7607963681221008,0.03768144125123276,0.0,rider,0.3
0.8975680470466614,0.7607963681221008,0.780914145195607,0.3613827635245292,car,0.3
0.8975680470466614,0.7607963681221008,0.06255585680338217,0.0,truck,0.3
0.8975680470466614,0.7607963681221008,0.13752531268320803,0.0,bus,0.3
0.8975680470466614,0.7607963681221008,0.07989881370946383,0.0,train,0.3
0.8975680470466614,0.7607963681221008,0.016749300096062875,0.0,motorcycle,0.3
0.8975680470466614,0.7607963681221008,0.4222636100487399,0.008057062258258725,bicycle,0.3
